date,draw_number,time_of_day,time,winning_number,symbol,modifiers
01-01-1996,926,Evening,7:00 PM,4,Dead Man,
01-01-1996,925,Midday,1:00 PM,2,Old Lady,
01-01-1997,1542,Evening,7:00 PM,20,Dog,
01-01-1997,1541,Midday,1:00 PM,20,Dog,
01-01-1998,2158,Evening,7:00 PM,21,Mouth,
01-01-1998,2157,Midday,1:00 PM,20,Dog,
01-01-1999,2774,Evening,7:00 PM,25,Morocoy,
01-01-1999,2773,Midday,1:00 PM,9,Cattle,
01-01-2000,3390,Evening,7:00 PM,28,Red Fish,
01-01-2000,3389,Midday,1:00 PM,21,Mouth,
01-01-2001,4002,Evening,7:00 PM,20,Dog,
01-01-2001,4001,Midday,1:00 PM,30,House Cat,
01-01-2002,4616,Evening,7:00 PM,27,Little Snake,
01-01-2002,4615,Midday,1:00 PM,25,Morocoy,
01-01-2003,5230,Evening,7:00 PM,8,Tiger,
01-01-2003,5229,Midday,1:00 PM,32,Shrimp,
01-01-2004,5844,Evening,7:00 PM,27,Little Snake,
01-01-2004,5843,Midday,1:00 PM,18,Water Boat,
01-01-2005,6458,Evening,7:00 PM,32,Shrimp,
01-01-2005,6457,Midday,1:00 PM,10,Monkey,
01-01-2008,8296,Evening,7:00 PM,35,Big Snake,
01-01-2008,8295,Midday,1:00 PM,17,Pigeon,
01-01-2009,8914,Evening,7:00 PM,6,Belly,
01-01-2009,8913,Midday,1:00 PM,17,Pigeon,
01-01-2010,9528,Evening,7:00 PM,8,Tiger,
01-01-2010,9527,Midday,1:00 PM,22,Rat,
01-01-2011,10142,Evening,7:00 PM,1,Centipede,
01-01-2011,10141,Midday,1:00 PM,8,Tiger,
01-01-2013,11719,Evening,7:00 PM,21,Mouth,
01-01-2013,11718,Midday,1:00 PM,15,Sick Woman,
01-01-2013,11717,Morning,10:30 AM,21,Mouth,
01-01-2014,12640,Evening,7:00 PM,8,Tiger,
01-01-2014,12639,Midday,1:00 PM,12,King,
01-01-2014,12638,Morning,10:30 AM,2,Old Lady,
01-01-2015,13564,Evening,7:00 PM,1,Centipede,
01-01-2015,13563,Midday,1:00 PM,29,Opium Man,
01-01-2015,13562,Morning,10:30 AM,29,Opium Man,
01-01-2016,14636,Afternoon,4:00 PM,27,Little Snake,
01-01-2016,14637,Evening,7:00 PM,21,Mouth,
01-01-2016,14635,Midday,1:00 PM,33,Spider,
01-01-2016,14634,Morning,10:30 AM,30,House Cat,
01-01-2018,17096,Afternoon,4:00 PM,4,Dead Man,
01-01-2018,17097,Evening,7:00 PM,16,Jammette,
01-01-2018,17095,Midday,1:00 PM,4,Dead Man,Megaball
01-01-2018,17094,Morning,10:30 AM,8,Tiger,
01-01-2019,18324,Afternoon,4:00 PM,9,Cattle,Megaball
01-01-2019,18325,Evening,7:00 PM,6,Belly,
